label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
0,Kepler,K02235.01,0.861643331,2.4318,232.5,0.025042,1.211,1.88,1599.85,1613.0,5506.0,4.596,0.688,282.21646,43.93359,
0,Kepler,K06048.02,0.80489537,0.92,,,,,,,,,,288.08749,43.876141,
0,TESS,TOI-13971,8.6795072,3.628,10160.0,0.10079682534683322,,24.132,578.958,1366.0,6057.0,4.43,1.14,338.452968,57.563539,10.1799
0,Kepler,K05356.01,326.36595188,3.75,,,,,,,,,,293.54224,42.699532,
0,Kepler,K03188.01,12.607591424,29.1267,79.5,0.014678,1.188901,1.61,101.31,809.0,6047.0,4.47,1.002,295.30386,43.059681,
1,Kepler,Kepler-1583 b,9.3281912,3.991,45.2,0.006063,17.96,0.59,91.02,788.0,5525.0,4.514,0.888,286.38693,47.016628,
0,Kepler,K08017.01,0.9337465,3.629,49.9,0.006515,2.04,0.63,2852.33,1863.0,6102.0,4.528,0.887,292.14102,47.62624,
0,Kepler,K06840.01,0.566799833,5.543,198.0,0.014788,1.028,1.27,3084.6,1900.0,5488.0,4.584,0.789,291.28311,42.741859,
1,K2,K2-77 b,8.20008746059,2.4601181,1079.5927,0.03285715599378619,,2.79975419,58.2025,704.46,4865.6,4.54,0.793476,55.228521,12.572448,11.2867
1,Kepler,Kepler-401 b,14.3832267,8.378,178.5,0.013044,9.64,1.84,147.78,889.0,6115.0,4.249,1.291,290.08276,50.86348,
0,Kepler,K02631.02,3.95383243,2.37,,,,,,,,,,282.23969,43.244049,
0,Kepler,K03962.01,0.697996932,4.3323,9094.6,0.369714,1.473,28.06,1560.69,1604.0,5176.0,4.636,0.695,299.33234,40.69503,
1,Kepler,Kepler-1169 b,6.11010439,2.314,59.7,0.007118,19.5,0.93,378.84,1125.0,6213.0,4.387,1.195,294.91156,46.491459,
0,Kepler,K03504.01,12.42560404,23.9402,458.9,0.025794,1.735079,2.52,68.44,733.0,5713.0,4.541,0.893,297.5798,40.603001,
0,Kepler,K00178.01,6.14281498,4.624,122.0,0.010721,7.72,1.82,796.26,1355.0,6495.0,4.128,1.554,292.03149,49.388618,
1,Kepler,Kepler-80 b,7.053527145,2.3982,1480.1,0.03487,22.94,2.16,21.17,547.0,4041.0,4.697,0.567,296.11258,39.978779,
1,Kepler,Kepler-188 c,5.996533443,3.3129,711.4,0.024912,12.32,2.96,260.49,1025.0,5622.0,4.346,1.089,281.27972,44.315529,
0,Kepler,K00394.01,12.28351275,3.634,597.8,0.24815,6.46,74.76,765.56,1342.0,6171.0,3.668,2.759,292.03107,39.24548,
0,Kepler,K06057.01,3.530164642,4.11466,69923.0,0.243325,8.1798,35.71,1086.97,1465.0,6208.0,4.226,1.344,300.09155,44.41481,
0,TESS,TOI-42551,2.5057108,1.962,3170.0,0.05630275304103699,,12.9673,2430.56,1956.0,8330.0,4.04,2.26,124.351447,-45.406543,12.5225
1,K2,K2-219 b,3.9009,3.408,117.30000000000001,0.0102,7.7,1.47,,,,,1.321,12.8452963,8.8675474,11.4427
0,TESS,TOI-20281,0.77871,1.458,670.0,0.02588435821108957,,6.16036,10057.7,2789.0,7751.0,4.0,2.25,334.434433,62.465008,10.9141
0,Kepler,K07014.01,2.441988077,3.94526,95344.0,0.402021,5.245,90.39,3721.74,1993.0,6078.0,3.874,2.059,292.8627,44.22105,
0,TESS,TOI-38831,7.0080817,3.179,14900.0,0.12206555615733702,,13.1807,189.492,1033.0,6307.0,4.48,1.06,189.828966,59.703485,11.1693
0,Kepler,K01324.01,0.52205862,2.0847,1381.3,0.283326,1.407,27.16,3951.57,2022.0,5359.0,4.478,0.878,288.65359,39.66431,
1,K2,BD+20 594 b,41.6855,,490.0,0.022135943621178655,55.8,2.57807,,,5766.0,4.5,1.08,53.6511231,20.5990205,10.4021
0,Kepler,K08293.01,378.65484,11.3,247.8,0.014468,252.0,1.53,1.04,258.0,6000.0,4.463,0.97,285.24338,47.812592,
1,Kepler,Kepler-48 b,4.77800306,2.7361,473.0,0.019376,13.6091,1.85,177.79,932.0,5192.0,4.489,0.873,299.13922,40.94902,
1,TESS,TOI-2941,7.327945,2.896,13710.0,0.11708970919769167,,9.49027,39.3409,697.0,4521.0,4.5,0.79,339.02584,-17.000305,11.3875
1,K2,K2-45 b,1.72926812424,1.8278099,23043.2055,0.15179988636359384,,12.6001269,313.9308,1073.56,4377.0,4.50156,0.766495,169.6327547,-1.7740582,14.6026
0,Kepler,K05920.01,471.39698,10.714,329.9,0.016945,322.0,1.87,1.16,265.0,6587.0,4.463,1.008,287.65161,49.686501,
0,K2,EPIC 205979483.01,12.4292,,,,,1.1126,53.836,,5414.0,4.595,0.814,340.076275,-15.4364075,12.2564
1,Kepler,Kepler-824 b,4.51436096,3.0083,230.7,0.013852,11.56,1.84,543.73,1231.0,5940.0,4.306,1.215,290.47742,39.73201,
0,Kepler,K07652.01,15.3466028,4.966,238.5,0.01477,19.5,3.64,480.12,1194.0,6771.0,3.934,2.259,292.38293,38.40057,
0,Kepler,K04873.01,359.3259,9.836,246.2,0.014538,275.92,3.6,6.69,410.0,6570.0,3.902,2.27,290.9288,37.085251,
